task,route,estimator,score_type,balance,fraction,metric,seed,comparison,left_mean,high_mean,gap,left_mask_n,high_mask_n,direction
sst2,direct,double,positive,global,0.1,accuracy,2027,random_minus_high,0.8158256880733944,0.4908256880733945,0.3249999999999999,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,ece,1234,low_minus_high,0.12284730120152354,0.009174317121505737,-0.1136729840800178,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,ece,1234,random_minus_high,0.09783948512786947,0.009174317121505737,-0.08866516800636373,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,ece,1337,low_minus_high,0.11499176363895858,0.009174317121505737,-0.10581744651745284,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,ece,1337,random_minus_high,0.10325008128283981,0.009174317121505737,-0.09407576416133408,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,ece,2027,low_minus_high,0.11285928516710908,0.009174317121505737,-0.10368496804560334,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,ece,2027,random_minus_high,0.09296826662838213,0.009174317121505737,-0.0837939495068764,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,nll,1234,low_minus_high,0.5808037604213855,0.6931471824645996,0.11234342204321413,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,nll,1234,random_minus_high,0.490733521233458,0.6931471824645996,0.20241366123114163,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,nll,1337,low_minus_high,0.5360283520790415,0.6931471824645996,0.15711883038555807,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,nll,1337,random_minus_high,0.49894131372828,0.6931471824645996,0.19420586873631962,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,nll,2027,low_minus_high,0.5353663024757433,0.6931471824645996,0.15778087998885626,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,nll,2027,random_minus_high,0.4748539868639696,0.6931471824645996,0.21829319560062999,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,accuracy,1234,low_minus_high,0.8130733944954128,0.4908256880733945,0.32224770642201833,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,accuracy,1234,random_minus_high,0.818922018348624,0.4908256880733945,0.3280963302752295,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,accuracy,1337,low_minus_high,0.8188073394495413,0.4908256880733945,0.3279816513761468,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,accuracy,1337,random_minus_high,0.8084288990825689,0.4908256880733945,0.3176032110091744,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,accuracy,2027,low_minus_high,0.8119266055045872,0.4908256880733945,0.3211009174311927,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,accuracy,2027,random_minus_high,0.8126146788990827,0.4908256880733945,0.3217889908256882,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,ece,1234,low_minus_high,0.12410183009467635,0.009174317121505737,-0.11492751297317061,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,ece,1234,random_minus_high,0.07773202131305172,0.009174317121505737,-0.06855770419154598,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,ece,1337,low_minus_high,0.11341777451862711,0.009174317121505737,-0.10424345739712138,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,ece,1337,random_minus_high,0.07515020994007383,0.009174317121505737,-0.0659758928185681,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,ece,2027,low_minus_high,0.11278731563495215,0.009174317121505737,-0.10361299851344641,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,ece,2027,random_minus_high,0.06828426479887081,0.009174317121505737,-0.05910994767736508,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,nll,1234,low_minus_high,0.5808341109424556,0.6931471824645996,0.11231307152214398,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,nll,1234,random_minus_high,0.45111138358575487,0.6931471824645996,0.24203579887884474,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,nll,1337,low_minus_high,0.5358257578053606,0.6931471824645996,0.15732142465923904,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,nll,1337,random_minus_high,0.4467644249080518,0.6931471824645996,0.24638275755654782,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,nll,2027,low_minus_high,0.5356147526806101,0.6931471824645996,0.1575324297839895,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.2,nll,2027,random_minus_high,0.4341679604706961,0.6931471824645996,0.2589792219939035,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,accuracy,1234,low_minus_high,0.8130733944954128,0.4908256880733945,0.32224770642201833,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,accuracy,1234,random_minus_high,0.8163417431192661,0.4908256880733945,0.3255160550458716,20,1,positive_means_high_pruning_is_more_harmful
